64.202.161.41 - - [26/Jan/2013:11:24:46 -0700] "GET porshhair.com/index.html HTTP/1.1" 200 4805 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.8) Gecko/20100202 Firefox/3.5.8 ( .NET CLR 3.5.30729)" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 23479
173.252.110.117 - - [26/Jan/2013:15:17:36 -0700] "GET www.porshhair.com/index.html?fb_action_ids=555480314461977&fb_action_types=og.likes&fb_source=other_multiline&action_object_map=%7B%22555480314461977%22%3A324477207657518%7D&action_type_map=%7B%22555480314461977%22%3A%22og.likes%22%7D&action_ref_map=%5B%5D HTTP/1.1" 206 2150 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 34164
173.252.110.117 - - [26/Jan/2013:15:17:36 -0700] "HEAD www.porshhair.com/images/Top banner.jpg HTTP/1.1" 206 329 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 1 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 26752
173.252.110.112 - - [26/Jan/2013:15:17:37 -0700] "HEAD www.porshhair.com/images/homeimage.jpg HTTP/1.1" 206 330 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" 0 "-" "/var/chroot/home/content/61/10251861/html/images/homeimage.jpg" 14842
72.14.199.143 - - [26/Jan/2013:17:37:26 -0700] "GET porshhair.com/google05e2b78c36c59ec0.html HTTP/1.1" 200 312 "-" "Google-Site-Verification/1.0" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/google05e2b78c36c59ec0.html" 12242
65.55.213.70 - - [26/Jan/2013:22:27:30 -0700] "GET www.porshhair.com/robots.txt HTTP/1.1" 200 427 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)" 0 "-" "/var/chroot/home/content/61/10251861/html/robots.txt" 34630
65.55.213.70 - - [26/Jan/2013:22:27:30 -0700] "GET www.porshhair.com/Prices/Prices.html HTTP/1.1" 200 1394 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/Prices/Prices.html" 285314
65.55.213.70 - - [26/Jan/2013:22:27:33 -0700] "GET www.porshhair.com/index.html HTTP/1.1" 200 2066 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 7401
65.55.213.70 - - [26/Jan/2013:22:27:37 -0700] "GET www.porshhair.com/Services/Services.html HTTP/1.1" 200 1393 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/Services/Services.html" 25669
65.55.213.70 - - [26/Jan/2013:23:40:32 -0700] "GET www.porshhair.com/About/About.html HTTP/1.1" 200 1688 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/About/About.html" 19335
65.55.213.70 - - [26/Jan/2013:23:40:37 -0700] "GET www.porshhair.com/Services/Services.html HTTP/1.1" 200 1393 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/Services/Services.html" 5885
65.55.213.70 - - [26/Jan/2013:23:40:38 -0700] "GET www.porshhair.com/Prices/Prices.html HTTP/1.1" 200 1394 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/Prices/Prices.html" 8239
