86.18.38.127 - - [24/Jan/2013:14:54:02 -0700] "GET www.porshhair.com/CSS/style.css HTTP/1.1" 200 1151 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 1 "-" "/var/chroot/home/content/61/10251861/html/CSS/style.css" 46364
86.18.38.127 - - [24/Jan/2013:14:54:02 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 200 32696 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 43309
86.18.38.127 - - [24/Jan/2013:14:54:02 -0700] "GET www.porshhair.com/images/homeimage.jpg HTTP/1.1" 200 36523 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/homeimage.jpg" 24491
86.18.38.127 - - [24/Jan/2013:14:54:02 -0700] "GET www.porshhair.com/images/background.png HTTP/1.1" 200 744013 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/background.png" 656347
86.18.38.127 - - [24/Jan/2013:14:54:02 -0700] "GET www.porshhair.com/images/mainSalonWeb.jpg HTTP/1.1" 200 861123 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 2 "-" "/var/chroot/home/content/61/10251861/html/images/mainSalonWeb.jpg" 856000
86.18.38.127 - - [24/Jan/2013:14:54:03 -0700] "GET www.porshhair.com/images/icon.ico HTTP/1.1" 200 5804 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 3 "-" "/var/chroot/home/content/61/10251861/html/images/icon.ico" 11251
86.18.38.127 - - [24/Jan/2013:14:55:13 -0700] "GET www.porshhair.com/About/About.html HTTP/1.1" 200 1725 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/About/About.html" 64445
86.18.38.127 - - [24/Jan/2013:14:55:26 -0700] "GET www.porshhair.com/Services/Services.html HTTP/1.1" 200 1430 "http://www.porshhair.com/About/About.html" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/Services/Services.html" 49798
86.18.38.127 - - [24/Jan/2013:14:55:35 -0700] "GET www.porshhair.com/Prices/Prices.html HTTP/1.1" 200 1431 "http://www.porshhair.com/Services/Services.html" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/Prices/Prices.html" 37327
86.18.38.127 - - [24/Jan/2013:14:55:36 -0700] "GET www.porshhair.com/images/image5.jpg HTTP/1.1" 200 40971 "http://www.porshhair.com/Prices/Prices.html" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17" 1 "-" "/var/chroot/home/content/61/10251861/html/images/image5.jpg" 58507
